variables,,,,,,,,,,,,,,,,
spname,varID,eqname,eqvarID,idTSN,varname,description,varclass,valueTSN,varmethod,varvalue,tLatest,units,ECMIN,ECMAX,ECDEF,eqVarname
GEMPORT,2190,,,U4,DiagDate,Date of last diagnostic execution.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2200,,,U4,DiagFixtureID,ID of diagnostic fixture in current configuration.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2210,,,U4,DiagFixtureList,List of current diagnostic calibration  and test boards in current configuration.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2220,,,U4,DiagStatus,Status of last diagnostic (1=OK  0=Failure.),SV,L,return $varvalue,,,,,,, 
GEMPORT,2230,,,U4,DieSpecFileName1,The list of die specification file names for the current test on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2240,,,U4,DieSpecFileName2,The list of die specification file names for the current test on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2250,,,U4,DieTestSpecNames1,The list of pairs of die file names and test file names for the current test on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2260,,,U4,DieTestSpecNames2,The list of pairs of die file names and test file names for the current test on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2270,,,U4,DockingStatus,Whether the handler is currently docked.  0 = Yes  1 = No.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2280,,,U4,DPRCRevision,The revision of the DPRC software.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2290,,,U4,EquipName,The external name of the equipment.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2300,,,U4,EquipSerialID,The serial number identifier of the equipment.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2310,,,U4,EventDescriptions,The list of events (CEIDs and descriptions defined for the equipment.,SV,L,eq_EventDescriptions GEMPORT,,,,,,, 
GEMPORT,2320,,,U4,EventsEnabled,The list of events that have been enabled for reporting.,SV,L,eq_EventsEnabled GEMPORT,,,,,,, 
GEMPORT,2330,,,U4,FileType,File type.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2340,,,U4,HandlerComStatus,The status of the communications link between handler/s (0=Disabled  1=1-way enabled  2=2-way enabled  3=Not communicating.,SV,U4,return $varvalue,0,,,,,, 
GEMPORT,2350,,,U4,HeadConfig,Number of sites currently configured per head.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2360,,,U4,LightPoleStatus,Color/status (i.e.  Red/flash.),SV,A,return $varvalue,,,,,,, 
GEMPORT,2370,,,U4,LimitFileName1,The name of the limit file associated with the testing on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2380,,,U4,LimitFileName2,The name of the limit file associated with the testing on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2390,,,U4,LoadBoard,The type of Loadboard currently on the tester.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2400,,,U4,LotID1,The identification of the lot currently under test on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2410,,,U4,LotID2,The identification of the lot currently under test on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2420,,,U4,MDLN,Equipment model type.,SV,A,return $GEMPORT(_MDLN,SGI,,,,,, 
GEMPORT,2430,,,U4,OCRMode,OCR reading mode on prober.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2440,,,U4,OperatorID1,The identifier of the operator who is responsible for the lot on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2450,,,U4,OperatorID2,The identifier of the operator who is responsible for the lot on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2460,,,U4,PCMRevision,The revision of PCM software.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2470,,,U4,PortState,The enumeration of the most-recently reported port state.,SV,U4,eq_ProcessState GEMPORT $varvalue,STANDBY,,,,,, 
GEMPORT,2480,,,U4,PortStateName,The string value of the most-recently reported port state.,SV,A,return $varvalue,STANDBY,,,,,, 
GEMPORT,2490,,,U4,PortState1,The enumeration of the current state of port 1.,SV,U4,eq_ProcessState GEMPORT $varvalue,STANDBY,,,,,, 
GEMPORT,2500,,,U4,PortStateName1,The string value of the current state of port 1.,SV,A,return $varvalue,STANDBY,,,,,, 
GEMPORT,2510,,,U4,PortState2,The enumeration of the current state of port 2.,SV,U4,eq_ProcessState GEMPORT $varvalue,STANDBY,,,,,, 
GEMPORT,2520,,,U4,PortStateName2,The string value of the current state of port 2.,SV,A,return $varvalue,STANDBY,,,,,, 
GEMPORT,2525,,,U4,PPFormat,The type or types of process programs and recipes that are supported,SV,U4,return $varvalue,1
GEMPORT,2530,,,U4,PPExecName1,The name of the current working process program on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2540,,,U4,PPExecName2,The name of the current working process program on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2550,,,U4,PreviousPortState,The enumeration of the state preceding the most-recently reported port state.,SV,U4,eq_ProcessState GEMPORT $varvalue,STANDBY,,,,,, 
GEMPORT,2560,,,U4,PreviousPortStateName,The string value of the state preceding the most-recently reported port state.,SV,A,return $varvalue,STANDBY,,,,,, 
GEMPORT,2570,,,U4,PreviousPortState1,The enumeration of the immediately previous state of port 1.,SV,U4,eq_ProcessState GEMPORT $varvalue,STANDBY,,,,,, 
GEMPORT,2580,,,U4,PreviousPortStateName1,The string value of the immediately previous state of port 1.,SV,A,return $varvalue,STANDBY,,,,,, 
GEMPORT,2590,,,U4,PreviousPortState2,The enumeration of the immediately previous state of port 2.,SV,U4,eq_ProcessState GEMPORT $varvalue,STANDBY,,,,,, 
GEMPORT,2600,,,U4,PreviousPortStateName2,The string value of the immediately previous state of port 2.,SV,A,return $varvalue,STANDBY,,,,,, 
GEMPORT,2610,,,U4,PreviousProcessState,The enumeration of the immediately previous process state of the equipment.,SV,U1,eq_ProcessState GEMPORT $varvalue,WORKSTATIONREADY,,,,,, 
GEMPORT,2620,,,U4,PreviousProcessStateName,The string value of the immediately previous process state of the equipment.,SV,A,return $varvalue,WORKSTATIONREADY,,,,,, 
GEMPORT,2630,,,U4,ProberRecipeFileName1,The prober recipe for the lot on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2640,,,U4,ProberRecipeFileName2,The prober recipe for the lot on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2650,,,U4,ProbeSpecFileName1,The name of the probe specification file name for the lot on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2660,,,U4,ProbeSpecFileName2,The name of the probe specification file name for the lot on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2670,,,U4,ProcessName1,The name of the process for the lot on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2680,,,U4,ProcessName2,The name of the process for the lot on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2690,,,U4,ProcessState,The enumeration of the current processing state of the equipment.,SV,U1,eq_ProcessState GEMPORT $varvalue,WORKSTATIONREADY,,,,,, 
GEMPORT,2700,,,U4,ProcessStateName,The string value of the current processing state name of the equipment.,SV,A,return $varvalue,WORKSTATIONREADY,,,,,, 
GEMPORT,2710,,,U4,ProductID1,The ID of the product for which tester is currently configured for the lot on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2720,,,U4,ProductID2,The ID of the product for which tester is currently configured for the lot on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2730,,,U4,RequestedOCRState,The new OCR state requested by the host or from the panel.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2740,,,U4,RequiredProbeCardType1,The type of probe card required to perform the current test on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2750,,,U4,RequiredProbeCardType2,The type of probe card required to perform the current test on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2760,,,U4,SOFTREV,The equipments software revision number.,SV,A,return $GEMPORT(_SOFTREV,1,,,,,, 
GEMPORT,2770,,,U4,SortType,Sort Type.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2780,,,U4,StationID,Station ID.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2790,,,U4,SubLotID1,The sublot currently being processed on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2800,,,U4,SubLotID2,The sublot currently being processed on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2805,,,U4,TestBoardID,List by head of the IDs of current test boards or probe cards.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2810,,,U4,TestBoardIDList,List of Ids in current test board configuration.  Usually the same value as TestBoardID.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2820,,,U4,TestBoardSiteID,X and Y coordinates of the head sites within testboard or probe card.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2830,,,U4,TesterID,Tester ID.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2840,,,U4,TestFileDependentParameters1,Last set of test file dependent parameters received for port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2850,,,U4,TestFileDependentParameters2,Last set of test file dependent parameters received for port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2860,,,U4,TestHeadID,The ID of each test head.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2870,,,U4,TestHeadStatus,List of test head/status pairs (Status: 0=disabled  1=enabled  2=not available.),SV,L,return $varvalue,,,,,,, 
GEMPORT,2880,,,U4,TestPlanName1,The name of the test plan associated with the test on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2890,,,U4,TestPlanName2,The name of the test plan associated with the test on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2900,,,U4,TestSpecFileName1,The name of the test specification file name associated with the test on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2910,,,U4,TestSpecFileName2,The name of the test specification file name associated with the test on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2915,,,U4,VirtualID,ID of each virtual configuration.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2920,,,U4,VOSRevision,The revision of VOS firmware.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2930,,,U4,WaferList1,The list of wafer ids to be tested in the lot on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2940,,,U4,WaferList2,The list of wafer ids to be tested in the lot on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2943,,,U4,WaferSlotMap1,The list of slots containing wafers in the foup on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2946,,,U4,WaferSlotMap2,The list of slots containing wafers in the foup on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2950,,,U4,WaferSlotUnderTest1,The wafer slot currently being tested on port 1.,SV,U4,return $varvalue,0,,,,,, 
GEMPORT,2960,,,U4,WaferSlotUnderTest2,The wafer slot currently being tested on port 2.,SV,U4,return $varvalue,0,,,,,, 
GEMPORT,2970,,,U4,WaferSpecFileName1,The name of the wafer specification file for the lot on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2980,,,U4,WaferSpecFileName2,The name of the wafer specification file for the lot on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2990,,,U4,WfFileRevision,The revision of Wf File.,SV,A,return $varvalue,,,,,,, 
